Produto,Preço,Pgto.,Nº Parcelas,Data,Cliente,E-mail,DDD,Telefone
Produto B,R$ 1000,Boleto Bancário,11,02/10/2018,Lucas Oliveira,lucasoliveira@outlook.com,41,982883910
Produto A,R$ 1000,Boleto Bancário,4,20/05/2018,Bianca Martins,biancamartins@yahoo.com,28,926367183
Produto C,R$ 500,Cartão de Crédito,11,11/11/2018,Pedro Silva,pedrosilva@yahoo.com,29,917376743
Produto A,R$ 1000,Boleto Bancário,4,12/04/2018,Paula Silva,paulasilva@hotmail.com,97,953862091
Produto C,R$ 1000,Boleto Bancário,3,07/04/2018,Tamires Costa,tamirescosta@yahoo.com,69,992323817
Produto C,R$ 750,Boleto Bancário,8,05/12/2018,Jhonn Costa,jhonncosta@gmail.com,86,924465068
Produto B,R$ 750,Pix,1,14/04/2018,Rafael Oliveira,rafaeloliveira@gmail.com,49,952902630
Produto A,R$ 1000,Cartão de Crédito,12,17/06/2018,Alefy Oliveira,alefyoliveira@gmail.com,91,918071618
Produto A,R$ 1200,Cartão de Crédito,1,14/03/2018,Jonatas Silva,jonatassilva@hotmail.com,31,984643810
Produto C,R$ 1000,Boleto Bancário,1,03/04/2018,Tamires Pereira,tamirespereira@outlook.com,19,975959287
Produto A,R$ 500,Pix,7,11/02/2018,Tamires Silva,tamiressilva@outlook.com,49,945367627
Produto B,R$ 750,Cartão de Crédito,11,08/01/2018,Samuel Almeida,samuelalmeida@gmail.com,26,919599116
Produto C,R$ 1000,Boleto Bancário,8,19/09/2018,Pedro Martins,pedromartins@yahoo.com,99,978206795
Produto C,R$ 750,Boleto Bancário,1,15/09/2018,Elaine Pereira,elainepereira@gmail.com,76,948930930
Produto A,R$ 500,Cartão de Crédito,1,17/07/2018,Tamires Oliveira,tamiresoliveira@hotmail.com,42,965773700
Produto C,R$ 750,Pix,7,20/10/2018,Danubia Oliveira,danubiaoliveira@hotmail.com,55,990364462
Produto A,R$ 1200,Boleto Bancário,12,05/04/2018,Rafael Pereira,rafaelpereira@gmail.com,36,936692266
Produto A,R$ 1200,Cartão de Crédito,4,30/07/2018,Tércio Pereira,térciopereira@hotmail.com,61,952018439
Produto B,R$ 1200,Pix,3,18/05/2018,Mariana Souza,marianasouza@outlook.com,74,956340504
Produto C,R$ 1200,Pix,8,07/07/2018,Mariana Almeida,marianaalmeida@hotmail.com,64,955025606
Produto B,R$ 1200,Cartão de Crédito,6,25/11/2018,Tércio Costa,térciocosta@hotmail.com,40,967145220
Produto B,R$ 500,Cartão de Crédito,7,22/04/2018,Jonatas Oliveira,jonatasoliveira@hotmail.com,16,908307410
Produto A,R$ 1200,Cartão de Crédito,7,02/04/2018,Elaine Souza,elainesouza@yahoo.com,46,919955906
Produto B,R$ 750,Cartão de Crédito,7,07/12/2018,Jhonn Costa,jhonncosta@gmail.com,41,927311948
Produto B,R$ 1200,Cartão de Crédito,1,08/06/2018,Bianca Pereira,biancapereira@gmail.com,91,955037018
Produto A,R$ 750,Boleto Bancário,12,27/08/2018,Bianca Souza,biancasouza@gmail.com,65,946775905
Produto A,R$ 500,Cartão de Crédito,10,19/05/2018,Jonatas Santos,jonatassantos@yahoo.com,85,942539084
Produto A,R$ 1200,Pix,8,13/09/2018,Tonny Oliveira,tonnyoliveira@yahoo.com,94,953973103
Produto B,R$ 1000,Pix,9,20/06/2018,Tércio Almeida,tércioalmeida@gmail.com,30,956764726
Produto A,R$ 750,Cartão de Crédito,2,24/03/2018,Pedro Oliveira,pedrooliveira@gmail.com,31,947653112
Produto A,R$ 500,Boleto Bancário,11,14/06/2018,Samuel Santos,samuelsantos@outlook.com,67,932599396
Produto B,R$ 1200,Cartão de Crédito,10,27/03/2018,Samuel Martins,samuelmartins@outlook.com,56,909040706
Produto A,R$ 500,Pix,11,01/01/2018,Elaine Oliveira,elaineoliveira@yahoo.com,72,905402141
Produto B,R$ 500,Pix,1,06/06/2018,Tonny Silva,tonnysilva@hotmail.com,15,938458971
Produto C,R$ 1200,Boleto Bancário,4,18/12/2018,Samuel Silva,samuelsilva@gmail.com,40,929176822
Produto B,R$ 750,Boleto Bancário,12,07/09/2018,Jhonn Almeida,jhonnalmeida@hotmail.com,51,963519918
Produto C,R$ 500,Boleto Bancário,12,14/08/2018,Pedro Santos,pedrosantos@hotmail.com,85,927144827
Produto A,R$ 1000,Pix,11,11/09/2018,Danubia Martins,danubiamartins@outlook.com,54,958443000
Produto B,R$ 1200,Boleto Bancário,8,10/08/2018,Jonatas Martins,jonatasmartins@hotmail.com,13,960422127
Produto B,R$ 500,Cartão de Crédito,4,13/10/2018,Jhonn Pereira,jhonnpereira@hotmail.com,79,978501392
Produto B,R$ 1000,Boleto Bancário,2,21/04/2018,Tonny Costa,tonnycosta@outlook.com,77,901164580
Produto A,R$ 750,Cartão de Crédito,8,07/04/2018,Jhonn Costa,jhonncosta@gmail.com,84,954910472
Produto C,R$ 500,Cartão de Crédito,1,25/02/2018,Jhonn Silva,jhonnsilva@yahoo.com,47,936211631
Produto C,R$ 750,Boleto Bancário,4,27/02/2018,Alefy Silva,alefysilva@yahoo.com,76,953128565
Produto B,R$ 500,Pix,11,10/01/2018,Samuel Oliveira,samueloliveira@hotmail.com,32,941888650
Produto C,R$ 1200,Boleto Bancário,5,27/02/2018,Tamires Silva,tamiressilva@gmail.com,46,906273985
Produto B,R$ 1200,Boleto Bancário,6,06/04/2018,Presley Martins,presleymartins@hotmail.com,29,999301421
Produto A,R$ 500,Cartão de Crédito,7,17/02/2018,Jhonn Silva,jhonnsilva@hotmail.com,25,977152723
Produto A,R$ 500,Cartão de Crédito,4,03/09/2018,Danubia Santos,danubiasantos@hotmail.com,39,998676443
Produto C,R$ 1200,Boleto Bancário,2,15/01/2018,Jonatas Santos,jonatassantos@hotmail.com,66,944773568
Produto A,R$ 1200,Boleto Bancário,4,18/09/2018,Alefy Martins,alefymartins@outlook.com,66,975446074
Produto B,R$ 500,Boleto Bancário,7,14/11/2018,Alefy Almeida,alefyalmeida@outlook.com,89,987643213
Produto B,R$ 750,Boleto Bancário,9,31/05/2018,Pedro Santos,pedrosantos@gmail.com,33,949691353
Produto B,R$ 750,Cartão de Crédito,7,08/09/2018,Lucas Souza,lucassouza@yahoo.com,18,900886904
Produto A,R$ 1200,Pix,9,06/01/2018,Tamires Santos,tamiressantos@outlook.com,78,977545030
Produto C,R$ 1000,Pix,7,11/01/2018,Danubia Martins,danubiamartins@yahoo.com,41,974647692
Produto B,R$ 750,Pix,1,24/09/2018,Alefy Souza,alefysouza@hotmail.com,89,929451300
Produto C,R$ 500,Boleto Bancário,4,13/08/2018,Elaine Oliveira,elaineoliveira@hotmail.com,28,993576370
Produto B,R$ 1200,Boleto Bancário,3,20/02/2018,Tamires Almeida,tamiresalmeida@outlook.com,99,974955300
Produto A,R$ 750,Pix,2,20/10/2018,Tamires Oliveira,tamiresoliveira@gmail.com,74,966333422
Produto B,R$ 1000,Pix,10,05/07/2018,Danubia Pereira,danubiapereira@hotmail.com,24,998334566
Produto B,R$ 1000,Cartão de Crédito,7,12/03/2018,Alefy Almeida,alefyalmeida@outlook.com,20,925032611
Produto B,R$ 750,Pix,7,14/10/2018,Jonatas Santos,jonatassantos@hotmail.com,46,931007599
Produto B,R$ 1000,Pix,11,09/06/2018,Tamires Pereira,tamirespereira@yahoo.com,80,912623916
Produto A,R$ 1000,Cartão de Crédito,12,06/02/2018,Alefy Martins,alefymartins@gmail.com,37,912340493
Produto A,R$ 1200,Cartão de Crédito,11,17/07/2018,Paula Almeida,paulaalmeida@outlook.com,21,942000728
Produto C,R$ 500,Boleto Bancário,3,13/12/2018,Jonatas Costa,jonatascosta@yahoo.com,28,945124292
Produto B,R$ 1000,Pix,3,04/07/2018,Elaine Oliveira,elaineoliveira@yahoo.com,44,923433105
Produto A,R$ 1200,Boleto Bancário,10,28/12/2018,Lucas Souza,lucassouza@yahoo.com,71,971374811
Produto A,R$ 500,Cartão de Crédito,4,03/04/2018,Alefy Souza,alefysouza@gmail.com,66,928911129
Produto C,R$ 500,Boleto Bancário,7,03/11/2018,Paula Silva,paulasilva@outlook.com,64,950035728
Produto C,R$ 1000,Cartão de Crédito,10,21/04/2018,Tamires Martins,tamiresmartins@yahoo.com,31,950776595
Produto B,R$ 1000,Pix,5,26/09/2018,Elaine Almeida,elainealmeida@gmail.com,19,942633091
Produto A,R$ 750,Boleto Bancário,6,02/06/2018,Tonny Santos,tonnysantos@yahoo.com,77,928784198
Produto C,R$ 1200,Pix,2,17/10/2018,Jhonn Costa,jhonncosta@gmail.com,72,914628978
Produto C,R$ 1000,Boleto Bancário,3,20/08/2018,Pedro Souza,pedrosouza@hotmail.com,98,904178001
Produto B,R$ 1000,Boleto Bancário,1,21/01/2018,Paula Almeida,paulaalmeida@gmail.com,70,990986740
Produto B,R$ 750,Boleto Bancário,8,11/03/2018,Tércio Oliveira,térciooliveira@outlook.com,69,995829503
Produto A,R$ 1200,Cartão de Crédito,1,03/05/2018,Jhonn Martins,jhonnmartins@hotmail.com,64,956212077
Produto B,R$ 1000,Boleto Bancário,3,29/07/2018,Bianca Santos,biancasantos@hotmail.com,18,961988091
Produto C,R$ 1200,Boleto Bancário,7,10/04/2018,Bianca Martins,biancamartins@yahoo.com,86,964462794
Produto A,R$ 500,Cartão de Crédito,2,06/02/2018,Samuel Pereira,samuelpereira@yahoo.com,59,957581497
Produto B,R$ 1000,Boleto Bancário,6,22/12/2018,Mariana Souza,marianasouza@yahoo.com,68,957372592
Produto C,R$ 1200,Boleto Bancário,11,20/08/2018,Tamires Almeida,tamiresalmeida@hotmail.com,18,983515762
Produto B,R$ 1200,Cartão de Crédito,6,03/11/2018,Pedro Oliveira,pedrooliveira@outlook.com,63,911877487
Produto B,R$ 750,Boleto Bancário,3,01/05/2018,Tamires Martins,tamiresmartins@gmail.com,50,982048144
Produto C,R$ 500,Pix,6,29/10/2018,Pedro Costa,pedrocosta@outlook.com,97,910124589
Produto C,R$ 1200,Boleto Bancário,6,06/06/2018,Rafael Silva,rafaelsilva@yahoo.com,67,994250798
Produto A,R$ 750,Pix,7,02/02/2018,Presley Santos,presleysantos@hotmail.com,17,938709756
Produto A,R$ 750,Boleto Bancário,7,23/10/2018,Samuel Almeida,samuelalmeida@yahoo.com,61,951701154
Produto C,R$ 500,Cartão de Crédito,2,03/02/2018,Danubia Pereira,danubiapereira@hotmail.com,84,908542994
Produto A,R$ 500,Cartão de Crédito,5,21/09/2018,Pedro Oliveira,pedrooliveira@gmail.com,72,912673492
Produto C,R$ 750,Boleto Bancário,10,14/10/2018,Jonatas Costa,jonatascosta@outlook.com,49,969676430
Produto C,R$ 750,Pix,8,24/10/2018,Alefy Oliveira,alefyoliveira@hotmail.com,12,998330990
Produto B,R$ 750,Cartão de Crédito,10,15/09/2018,Paula Souza,paulasouza@gmail.com,29,973194562
Produto A,R$ 1200,Cartão de Crédito,8,30/01/2018,Elaine Souza,elainesouza@hotmail.com,89,966506640
Produto C,R$ 750,Pix,6,05/09/2018,Paula Almeida,paulaalmeida@outlook.com,67,984779119
Produto B,R$ 1000,Cartão de Crédito,9,22/04/2018,Elaine Martins,elainemartins@yahoo.com,92,948581374
Produto C,R$ 1200,Boleto Bancário,1,25/05/2018,Danubia Oliveira,danubiaoliveira@yahoo.com,96,930815438
Produto C,R$ 1200,Cartão de Crédito,6,16/09/2018,Lucas Oliveira,lucasoliveira@hotmail.com,99,943170406
Produto A,R$ 1000,Pix,4,29/11/2018,Mariana Santos,marianasantos@outlook.com,18,967465051
Produto A,R$ 1000,Boleto Bancário,7,07/02/2018,Jonatas Oliveira,jonatasoliveira@hotmail.com,15,906887371
Produto A,R$ 750,Pix,2,15/05/2018,Lucas Silva,lucassilva@outlook.com,80,937463172
Produto C,R$ 500,Pix,8,04/11/2018,Elaine Santos,elainesantos@hotmail.com,80,940588883
Produto C,R$ 750,Boleto Bancário,6,22/02/2018,Alefy Martins,alefymartins@hotmail.com,47,934800232
Produto B,R$ 500,Boleto Bancário,9,18/09/2018,Jhonn Martins,jhonnmartins@outlook.com,38,923100112
Produto C,R$ 500,Boleto Bancário,10,28/04/2018,Tonny Oliveira,tonnyoliveira@gmail.com,26,913106835
Produto A,R$ 750,Pix,5,03/11/2018,Paula Souza,paulasouza@yahoo.com,21,964146824
Produto A,R$ 500,Cartão de Crédito,7,10/09/2018,Tonny Santos,tonnysantos@yahoo.com,33,922785734
Produto A,R$ 750,Pix,4,03/05/2018,Bianca Oliveira,biancaoliveira@hotmail.com,85,936843186
Produto C,R$ 1000,Boleto Bancário,6,30/11/2018,Alefy Souza,alefysouza@yahoo.com,82,916963051
Produto A,R$ 1000,Boleto Bancário,7,23/10/2018,Pedro Souza,pedrosouza@outlook.com,78,949205324
Produto B,R$ 500,Cartão de Crédito,1,08/10/2018,Presley Costa,presleycosta@yahoo.com,78,960127581
Produto B,R$ 750,Cartão de Crédito,10,18/09/2018,Samuel Silva,samuelsilva@gmail.com,70,978995851
Produto C,R$ 500,Pix,1,28/05/2018,Presley Santos,presleysantos@gmail.com,62,920653053
Produto C,R$ 500,Pix,6,18/01/2018,Tonny Souza,tonnysouza@outlook.com,34,945292818
Produto B,R$ 1000,Pix,4,12/05/2018,Danubia Oliveira,danubiaoliveira@outlook.com,21,913711382
Produto C,R$ 500,Boleto Bancário,12,01/07/2018,Tércio Martins,térciomartins@yahoo.com,36,967554839
Produto A,R$ 1200,Boleto Bancário,3,23/10/2018,Lucas Oliveira,lucasoliveira@outlook.com,78,902394420
Produto B,R$ 1000,Cartão de Crédito,11,05/12/2018,Tamires Pereira,tamirespereira@hotmail.com,32,954872014
Produto C,R$ 1000,Pix,1,09/12/2018,Lucas Pereira,lucaspereira@yahoo.com,47,954707717
Produto A,R$ 1200,Boleto Bancário,6,10/09/2018,Bianca Martins,biancamartins@outlook.com,12,923860977
Produto C,R$ 1000,Boleto Bancário,7,21/04/2018,Alefy Oliveira,alefyoliveira@hotmail.com,75,961564348
Produto A,R$ 1200,Cartão de Crédito,12,28/01/2018,Elaine Almeida,elainealmeida@yahoo.com,25,969667214
Produto A,R$ 500,Boleto Bancário,8,17/12/2018,Paula Almeida,paulaalmeida@gmail.com,35,963973784
Produto B,R$ 1200,Pix,8,17/08/2018,Mariana Santos,marianasantos@gmail.com,38,916099072
Produto C,R$ 1200,Cartão de Crédito,5,06/05/2018,Jonatas Pereira,jonataspereira@hotmail.com,63,912492172
Produto B,R$ 1200,Cartão de Crédito,7,02/02/2018,Tamires Costa,tamirescosta@outlook.com,94,916616931
Produto A,R$ 500,Pix,10,02/10/2018,Rafael Pereira,rafaelpereira@gmail.com,73,993181357
Produto C,R$ 500,Boleto Bancário,6,29/05/2018,Elaine Silva,elainesilva@hotmail.com,35,974619537
Produto B,R$ 500,Pix,11,09/05/2018,Presley Silva,presleysilva@hotmail.com,50,973441008
Produto B,R$ 1200,Cartão de Crédito,10,17/01/2018,Presley Oliveira,presleyoliveira@outlook.com,62,956957838
Produto A,R$ 1000,Pix,9,09/11/2018,Pedro Santos,pedrosantos@outlook.com,99,953178553
Produto B,R$ 1200,Pix,4,19/12/2018,Paula Santos,paulasantos@gmail.com,93,957858795
Produto A,R$ 1000,Boleto Bancário,4,08/10/2018,Presley Martins,presleymartins@yahoo.com,48,954878840
Produto C,R$ 500,Pix,9,25/01/2018,Alefy Souza,alefysouza@hotmail.com,94,969964926
Produto B,R$ 1200,Boleto Bancário,6,22/05/2018,Lucas Silva,lucassilva@yahoo.com,24,927166489
Produto B,R$ 1000,Cartão de Crédito,5,25/01/2018,Samuel Souza,samuelsouza@hotmail.com,19,932326164
Produto A,R$ 500,Pix,2,08/12/2018,Samuel Almeida,samuelalmeida@outlook.com,37,957342694
Produto B,R$ 1200,Pix,1,16/07/2018,Pedro Souza,pedrosouza@yahoo.com,76,986023538
Produto C,R$ 750,Cartão de Crédito,8,13/07/2018,Mariana Silva,marianasilva@outlook.com,95,996757058
Produto C,R$ 1200,Boleto Bancário,11,10/03/2018,Bianca Santos,biancasantos@yahoo.com,16,945928499
Produto B,R$ 1200,Cartão de Crédito,7,19/03/2018,Rafael Oliveira,rafaeloliveira@hotmail.com,77,982150957
Produto A,R$ 1000,Cartão de Crédito,6,10/06/2018,Tércio Oliveira,térciooliveira@outlook.com,40,994143403
Produto A,R$ 750,Pix,10,04/02/2018,Jhonn Souza,jhonnsouza@yahoo.com,38,976415317
Produto C,R$ 1000,Pix,5,18/04/2018,Samuel Oliveira,samueloliveira@yahoo.com,13,974237088
Produto B,R$ 1200,Pix,12,15/12/2018,Bianca Santos,biancasantos@outlook.com,34,950347697
Produto B,R$ 1000,Cartão de Crédito,4,04/05/2018,Bianca Pereira,biancapereira@outlook.com,93,953337532
Produto C,R$ 1000,Boleto Bancário,6,20/02/2018,Elaine Almeida,elainealmeida@gmail.com,25,978568712
Produto B,R$ 1200,Pix,11,19/10/2018,Alefy Oliveira,alefyoliveira@outlook.com,95,962598802
Produto B,R$ 1000,Cartão de Crédito,9,01/07/2018,Jhonn Oliveira,jhonnoliveira@outlook.com,16,923865393
Produto C,R$ 1200,Pix,1,17/09/2018,Elaine Souza,elainesouza@outlook.com,85,972824183
Produto B,R$ 1200,Boleto Bancário,2,09/07/2018,Tércio Souza,térciosouza@hotmail.com,20,962151360
Produto A,R$ 500,Boleto Bancário,5,04/08/2018,Paula Costa,paulacosta@hotmail.com,94,921234411
Produto B,R$ 750,Pix,10,20/09/2018,Paula Martins,paulamartins@gmail.com,48,973470971
Produto A,R$ 1200,Boleto Bancário,2,03/02/2018,Tércio Santos,térciosantos@yahoo.com,41,901073621
Produto A,R$ 750,Boleto Bancário,11,25/05/2018,Mariana Silva,marianasilva@gmail.com,80,996673856
Produto C,R$ 500,Boleto Bancário,9,13/10/2018,Jhonn Santos,jhonnsantos@hotmail.com,85,916568297
Produto A,R$ 750,Pix,5,04/02/2018,Lucas Silva,lucassilva@outlook.com,86,904841701
Produto B,R$ 1200,Pix,12,24/05/2018,Jonatas Souza,jonatassouza@yahoo.com,11,987755207
Produto B,R$ 1200,Boleto Bancário,5,23/04/2018,Alefy Costa,alefycosta@outlook.com,84,908444373
Produto C,R$ 750,Pix,10,07/09/2018,Rafael Martins,rafaelmartins@hotmail.com,82,960018041
Produto B,R$ 750,Boleto Bancário,9,31/10/2018,Danubia Almeida,danubiaalmeida@hotmail.com,48,926944469
Produto B,R$ 1200,Boleto Bancário,5,14/08/2018,Danubia Costa,danubiacosta@yahoo.com,45,972992371
Produto C,R$ 1000,Cartão de Crédito,7,20/06/2018,Tonny Silva,tonnysilva@hotmail.com,49,900444836
Produto B,R$ 750,Cartão de Crédito,10,24/02/2018,Tonny Martins,tonnymartins@outlook.com,77,932077729
Produto B,R$ 1000,Boleto Bancário,3,22/12/2018,Lucas Santos,lucassantos@outlook.com,55,918380793
Produto B,R$ 500,Boleto Bancário,3,15/05/2018,Rafael Martins,rafaelmartins@gmail.com,35,910043672
Produto A,R$ 750,Pix,3,17/10/2018,Rafael Oliveira,rafaeloliveira@yahoo.com,80,986429243
Produto A,R$ 1000,Pix,3,11/06/2018,Danubia Almeida,danubiaalmeida@hotmail.com,44,949199428
Produto A,R$ 1000,Cartão de Crédito,2,27/06/2018,Jhonn Silva,jhonnsilva@hotmail.com,18,962022566
Produto A,R$ 750,Pix,1,25/07/2018,Tonny Martins,tonnymartins@yahoo.com,87,946578034
Produto A,R$ 1000,Boleto Bancário,10,09/04/2018,Tércio Almeida,tércioalmeida@gmail.com,70,925511267
Produto B,R$ 750,Pix,11,16/09/2018,Pedro Souza,pedrosouza@yahoo.com,24,992850181
Produto C,R$ 750,Cartão de Crédito,12,27/10/2018,Danubia Pereira,danubiapereira@yahoo.com,90,970246921
Produto B,R$ 500,Cartão de Crédito,5,09/06/2018,Bianca Oliveira,biancaoliveira@gmail.com,72,942417776
Produto A,R$ 1200,Pix,4,16/02/2018,Elaine Souza,elainesouza@yahoo.com,52,988381348
Produto C,R$ 500,Pix,7,20/11/2018,Tércio Oliveira,térciooliveira@hotmail.com,15,956318516
Produto B,R$ 1200,Cartão de Crédito,7,01/08/2018,Samuel Costa,samuelcosta@yahoo.com,75,933824490
Produto B,R$ 1200,Boleto Bancário,11,24/09/2018,Samuel Souza,samuelsouza@hotmail.com,80,976016764
Produto B,R$ 500,Boleto Bancário,11,12/06/2018,Alefy Almeida,alefyalmeida@hotmail.com,70,948166010
Produto B,R$ 1200,Boleto Bancário,11,17/09/2018,Tonny Silva,tonnysilva@outlook.com,27,940432952
Produto B,R$ 750,Boleto Bancário,7,12/08/2018,Tamires Costa,tamirescosta@hotmail.com,47,943966962
Produto A,R$ 1000,Pix,7,21/01/2018,Rafael Martins,rafaelmartins@hotmail.com,57,981710782
Produto C,R$ 500,Boleto Bancário,8,20/08/2018,Jonatas Santos,jonatassantos@hotmail.com,41,955293262
Produto C,R$ 1000,Boleto Bancário,8,20/02/2018,Alefy Martins,alefymartins@yahoo.com,44,985136911
Produto B,R$ 750,Cartão de Crédito,8,03/06/2018,Tércio Silva,térciosilva@gmail.com,72,939222450
Produto C,R$ 750,Boleto Bancário,5,23/05/2018,Jhonn Santos,jhonnsantos@outlook.com,11,984600388
Produto C,R$ 750,Pix,11,09/10/2018,Pedro Martins,pedromartins@outlook.com,25,904019031
Produto B,R$ 750,Boleto Bancário,12,06/01/2018,Jhonn Silva,jhonnsilva@hotmail.com,38,947864719
Produto C,R$ 500,Boleto Bancário,4,14/08/2018,Pedro Souza,pedrosouza@hotmail.com,34,958323252
Produto B,R$ 750,Pix,5,01/02/2018,Presley Souza,presleysouza@hotmail.com,31,950507419
Produto B,R$ 1000,Boleto Bancário,11,17/04/2018,Bianca Martins,biancamartins@hotmail.com,68,944058830
Produto A,R$ 1000,Cartão de Crédito,10,06/08/2018,Jonatas Silva,jonatassilva@hotmail.com,27,933893222
Produto A,R$ 1000,Boleto Bancário,12,27/02/2018,Jonatas Pereira,jonataspereira@outlook.com,73,930039018
Produto A,R$ 750,Boleto Bancário,6,07/11/2018,Jhonn Pereira,jhonnpereira@hotmail.com,21,966498317
Produto C,R$ 500,Pix,9,15/11/2018,Lucas Almeida,lucasalmeida@yahoo.com,27,941689704
Produto C,R$ 1200,Cartão de Crédito,12,03/11/2018,Rafael Martins,rafaelmartins@outlook.com,49,926119205
Produto B,R$ 1200,Boleto Bancário,3,02/12/2018,Danubia Oliveira,danubiaoliveira@yahoo.com,44,972721018
Produto A,R$ 1200,Cartão de Crédito,1,30/08/2018,Alefy Souza,alefysouza@outlook.com,72,947084112
Produto B,R$ 1000,Boleto Bancário,7,15/06/2018,Pedro Silva,pedrosilva@gmail.com,73,938400430
Produto B,R$ 500,Pix,6,27/10/2018,Tércio Oliveira,térciooliveira@hotmail.com,58,907670139
Produto A,R$ 500,Boleto Bancário,9,17/01/2018,Tonny Costa,tonnycosta@yahoo.com,84,984629099
Produto B,R$ 1200,Boleto Bancário,5,07/10/2018,Alefy Almeida,alefyalmeida@gmail.com,42,987537749
Produto C,R$ 1200,Cartão de Crédito,2,06/04/2018,Tonny Silva,tonnysilva@hotmail.com,84,907393832
Produto A,R$ 1000,Pix,9,11/05/2018,Jhonn Almeida,jhonnalmeida@gmail.com,61,940558480
Produto B,R$ 500,Pix,2,24/11/2018,Lucas Santos,lucassantos@hotmail.com,79,974576025
Produto C,R$ 500,Boleto Bancário,4,29/01/2018,Mariana Santos,marianasantos@hotmail.com,49,931798797
Produto B,R$ 1200,Boleto Bancário,10,18/10/2018,Jonatas Costa,jonatascosta@gmail.com,69,901562388
Produto A,R$ 500,Pix,12,20/02/2018,Lucas Almeida,lucasalmeida@hotmail.com,44,932269828
Produto B,R$ 1200,Pix,11,29/09/2018,Samuel Oliveira,samueloliveira@hotmail.com,65,996985060
Produto C,R$ 500,Cartão de Crédito,8,04/06/2018,Elaine Almeida,elainealmeida@outlook.com,26,900936616
Produto B,R$ 1200,Boleto Bancário,3,16/11/2018,Tércio Oliveira,térciooliveira@outlook.com,55,914885207
Produto B,R$ 1000,Cartão de Crédito,3,11/07/2018,Lucas Costa,lucascosta@outlook.com,49,952367159
Produto C,R$ 750,Pix,12,12/07/2018,Paula Almeida,paulaalmeida@yahoo.com,11,972907067
Produto A,R$ 750,Boleto Bancário,6,01/10/2018,Tonny Almeida,tonnyalmeida@yahoo.com,30,930220705
Produto C,R$ 750,Cartão de Crédito,1,13/11/2018,Mariana Costa,marianacosta@hotmail.com,16,960061415
Produto B,R$ 1000,Cartão de Crédito,2,15/12/2018,Presley Almeida,presleyalmeida@outlook.com,70,964766536
Produto B,R$ 500,Cartão de Crédito,2,03/10/2018,Lucas Costa,lucascosta@outlook.com,36,938309909
Produto A,R$ 500,Cartão de Crédito,5,30/05/2018,Rafael Costa,rafaelcosta@gmail.com,33,929947828
Produto C,R$ 750,Cartão de Crédito,10,23/02/2018,Jonatas Costa,jonatascosta@outlook.com,24,963358139
Produto C,R$ 750,Pix,2,07/01/2018,Rafael Santos,rafaelsantos@gmail.com,92,932259855
Produto A,R$ 1200,Cartão de Crédito,3,01/10/2018,Elaine Almeida,elainealmeida@yahoo.com,74,928966342
Produto C,R$ 750,Pix,2,17/10/2018,Mariana Pereira,marianapereira@hotmail.com,24,952798301
Produto A,R$ 500,Pix,7,08/11/2018,Danubia Pereira,danubiapereira@outlook.com,88,952206678
Produto A,R$ 750,Boleto Bancário,1,18/11/2018,Samuel Pereira,samuelpereira@outlook.com,73,956015169
Produto B,R$ 1200,Boleto Bancário,7,02/11/2018,Paula Martins,paulamartins@outlook.com,77,929195605
Produto C,R$ 500,Cartão de Crédito,12,23/08/2018,Rafael Martins,rafaelmartins@outlook.com,16,964781971
Produto C,R$ 750,Boleto Bancário,4,19/06/2018,Tonny Santos,tonnysantos@hotmail.com,28,985014320
Produto B,R$ 750,Cartão de Crédito,5,11/07/2018,Alefy Costa,alefycosta@yahoo.com,23,933980303
Produto C,R$ 500,Cartão de Crédito,2,27/04/2018,Tamires Silva,tamiressilva@yahoo.com,70,914277207
Produto A,R$ 500,Boleto Bancário,9,01/02/2018,Paula Pereira,paulapereira@outlook.com,19,912699957
Produto A,R$ 750,Boleto Bancário,5,04/09/2018,Alefy Silva,alefysilva@hotmail.com,95,925989438
Produto C,R$ 750,Boleto Bancário,6,21/03/2018,Bianca Santos,biancasantos@yahoo.com,54,947645000
Produto C,R$ 500,Boleto Bancário,6,30/04/2018,Pedro Martins,pedromartins@outlook.com,83,943459520
Produto C,R$ 750,Cartão de Crédito,11,26/08/2018,Lucas Almeida,lucasalmeida@outlook.com,77,924604779
Produto C,R$ 750,Cartão de Crédito,11,13/10/2018,Alefy Almeida,alefyalmeida@hotmail.com,92,966093913
Produto C,R$ 1200,Cartão de Crédito,2,12/08/2018,Danubia Costa,danubiacosta@outlook.com,11,958203985
Produto B,R$ 750,Pix,8,20/11/2018,Alefy Martins,alefymartins@yahoo.com,66,907888609
Produto A,R$ 750,Pix,10,05/08/2018,Mariana Santos,marianasantos@hotmail.com,14,995722672
Produto A,R$ 750,Boleto Bancário,7,12/08/2018,Samuel Silva,samuelsilva@hotmail.com,34,987524418
Produto A,R$ 1200,Pix,1,31/10/2018,Mariana Silva,marianasilva@hotmail.com,42,969919441
Produto B,R$ 1200,Pix,8,26/01/2018,Mariana Costa,marianacosta@gmail.com,70,990366012
Produto C,R$ 500,Pix,3,06/03/2018,Tamires Oliveira,tamiresoliveira@yahoo.com,48,981808095
Produto A,R$ 1200,Cartão de Crédito,1,03/06/2018,Danubia Martins,danubiamartins@gmail.com,29,909255765
Produto C,R$ 500,Boleto Bancário,1,07/06/2018,Jonatas Santos,jonatassantos@yahoo.com,55,939713845
Produto C,R$ 500,Pix,10,20/01/2018,Bianca Souza,biancasouza@yahoo.com,88,958829525
